GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
,,,,,,,,,,,,
5062,355.81,886.57,1133.51,-828.65,-7357.72,416.94,4154.15,-1333.94,42.67,-1239.4,-1291.27,-2530.67
5063,305.48,878.7,1138.99,-832.56,-7269.5,409.94,4150.87,-1379.97,43.84,-1218.1,-1336.13,-2554.23
5064,325.99,864.08,1125.94,-829.62,-7312.55,416.08,4177.52,-1374.42,42.69,-1232.56,-1331.73,-2564.29
5065,338.73,884.26,1115.37,-818.05,-7308.35,416.48,4154.04,-1363.69,45,-1217.52,-1318.69,-2536.22
5066,377.58,869.53,1118.52,-803.53,-7337.82,424.17,4175.36,-1354.74,43.51,-1176.18,-1311.23,-2487.41
5067,345.28,877.64,1121.69,-841.24,-7333.36,416.07,4182.34,-1357.33,44.24,-1231.59,-1313.09,-2544.68
5068,342.93,944.72,1120.74,-852.34,-7259.66,414.38,4165.52,-1418.67,43.75,-1123.72,-1374.92,-2498.64
5069,353.4,918.43,1142.7,-819.49,-7324.78,416.11,4158.7,-1371.37,43.11,-1154.92,-1328.25,-2483.18
5070,323.32,868.42,1114.34,-846.67,-7319.25,429.47,4186.76,-1363.93,43.96,-1243.6,-1319.97,-2563.57
5071,318.01,889.05,1118.17,-848.74,-7344.3,410.09,4163.63,-1349.76,43.76,-1294.09,-1306.01,-2600.1
5072,333.59,875.57,1144.15,-851.1,-7346.13,423.83,4186.08,-1335.98,43.84,-1234.01,-1292.14,-2526.15
5073,350.2,872.79,1107.58,-834.16,-7333.91,437.08,4180,-1359.43,42.7,-1220.43,-1316.72,-2537.15
5074,335.1,906.06,1111.66,-848.41,-7371.65,421.22,4167.12,-1305.88,42.38,-1278.9,-1263.51,-2542.41
5075,348.78,899.74,1123.01,-844.59,-7274.96,418.39,4107.86,-1341.47,42.86,-1221.77,-1298.61,-2520.38
5076,342.21,900.5,1129.76,-833.91,-7347.82,399.9,4187.21,-1334.45,43.56,-1222.16,-1290.89,-2513.05
5077,349.81,904.26,1108.95,-837.24,-7358.98,418.42,4195.78,-1312.03,43.11,-1219,-1268.92,-2487.92
5078,307.63,858.46,1128.82,-825.88,-7326.68,429.35,4170.29,-1348.4,44.47,-1258.02,-1303.93,-2561.95
5079,352.02,896.95,1111.11,-845.11,-7274.52,407.01,4131.11,-1369.73,43.06,-1221.43,-1326.67,-2548.1
5080,337.3,870.09,1117.89,-833.4,-7319.2,412.98,4156.35,-1351.64,43.53,-1257.99,-1308.11,-2566.1
5081,336.58,894.01,1134.13,-840.13,-7311.89,404.08,4114.59,-1305.69,43.9,-1268.64,-1261.79,-2530.43
5082,368.21,905.83,1123.67,-834.8,-7323.13,429.33,4145.58,-1318.83,43.73,-1185.3,-1275.1,-2460.4
5083,326.58,878.51,1111.63,-848.32,-7334.91,421.9,4165.02,-1320.25,42.57,-1279.59,-1277.68,-2557.27
5084,314.76,879.45,1132.91,-837.18,-7378.01,424.01,4167.51,-1305.51,42.34,-1296.56,-1263.17,-2559.73
5085,339.79,894.57,1115.82,-824.21,-7341.4,421.39,4118.64,-1300.8,42.88,-1275.41,-1257.92,-2533.33
5086,315.18,910.62,1132.84,-836.21,-7414.2,412.5,4143.16,-1257.68,42.18,-1336.11,-1215.5,-2551.61
5087,319.98,894.6,1133.62,-834.84,-7384.22,398.89,4152.46,-1280.91,42.51,-1319.5,-1238.4,-2557.9
5088,331.54,903.29,1126.43,-835.05,-7404.93,413.46,4157.3,-1263.33,41.63,-1307.96,-1221.7,-2529.66
